Status,DeliveryNumber,Batch,QTY,Material,Type,StorageLocation,SubLineItem,S4_Error_message
Failed,80086637,BM2617961,81,10341937,CL,SALE,900001,
Failed,80086637,BN26105L4,12,10343397,CL,SALE,900002,
Failed,80086637,BN26106L4,8,10343397,CL,SALE,900003,
Failed,80086637,BN26053L4,9,10343387,CL,SALE,900004,
Failed,80086637,BK26167B2,9,10367397,CL,SALE,900005,
Failed,80086637,BK26167B2,43,10367397,CL,SALE,900005,
Failed,80086637,BC26118A2,4,10366903,CL,SALE,900006,
Failed,80086637,BK26151A2,7,10343216,CL,SALE,900007,
Failed,80086637,BM2618261,78,10341936,CL,SALE,900008,
Failed,80086637,BM2618361,3,10341936,CL,SALE,900009,
Failed,80086637,BM2616461,54,10341935,CL,SALE,,Item 900010: Only 0 CS from material 10341935 are available
Failed,80086637,BK26177B2,29,10365183,CL,SALE,900010,
Failed,80086637,BK26177B2,11,10365183,CL,SALE,900010,
Failed,80086637,BK26175A2,52,10367406,CL,SALE,900011,
Failed,80086637,BM2613461,42,10367380,CL,SALE,900012,
Failed,80086637,625DA4CCL9,19,10327964,CL,SALE,900013,
Failed,80086637,BM2614162,16,10319936,CL,SALE,900014,
Failed,80086637,BM26092L62,16,10318660,CL,SALE,900015,
Failed,80086637,BM26091L62,24,10318660,CL,SALE,900016,
Failed,80086637,BN26108L4,20,10318659,CL,SALE,900017,
Failed,80086637,BM2616662,17,10324969,CL,SALE,900018,
Failed,80086637,625BA4CCL9,19,10327970,CL,SALE,900019,
Failed,80086637,BC26111A2,4,10343350,CL,SALE,900020,
