Status,DeliveryNumber,Order_Line,Batch,Material,Pallet,QTY,Validation_message
Success,80087124,20,BM26075L62,10317250,00106026522435382911,20,
Success,80087124,30,BN26104L4,10317851,00106026522435382911,20,
Success,80087124,130,CS26077L4,10317282,00106026522435382911,39,
Success,80087124,110,CS26110L7,10317284,00106026522435382911,26,
Success,80087124,150,PC26107B2,10317285,00106026522435382911,26,
Success,80087124,10,BM26112L62,10318533,00106026522435382911,10,
Success,80087124,40,BC26139A2,10326961,00106026522435382911,10,
Success,80087124,140,PC26035C2,10318531,00106026522435382911,13,
Success,80087124,120,PC26104B2,10317286,00106026522435382911,30,
Success,80087124,120,PC26099A2,10317286,00106026522435382911,9,
Success,80087124,100,PC26102C2,10325944,00106026522435382911,39,
Success,80087124,180,BC26106A2,10326026,00106026522435382911,10,
Success,80087124,50,BM2616761,10341935,00106026522435382911,54,
Failed,80087124,160,TD26027L141,10367069,00106026522435382911,19,Row 14: Material or Batch or StorageLocation 'SALE'/'AGED' is not available in S4 with the combination
Success,80087124,170,629DA4CC9,10327970,00106026522435382911,38,
Success,80087124,190,BC26105A2,10367461,00106026522435382911,25,
Success,80087124,60,BK26175A2,10367406,00106026522435382911,54,
Success,80087124,80,BK26167B2,10367397,00106026522435382911,54,
Success,80087124,90,BM2617261,10367380,00106026522435382911,54,
Success,80087124,200,CS26167L4,10367670,00106026522435382911,26,
Success,80087124,210,CS26174L7,10367671,00106026522435382911,26,
